"Step","0_sazut-tonat-dokabtofok - episodic_return","0_sazut-tonat-dokabtofok - episodic_return__MIN","0_sazut-tonat-dokabtofok - episodic_return__MAX"
"258554","40","40","40"
"258956","40","40","40"
"259028","0","0","0"
"259200","4","4","4"
"260686","12","12","12"
"261327","40","40","40"
"261743","18","18","18"
"261798","6","6","6"
"262241","40","40","40"
"262611","40","40","40"
"262919","3","3","3"
"264382","40","40","40"
"265238","1","1","1"
"265370","9","9","9"
"265645","10","10","10"
"265984","3","3","3"
"266075","40","40","40"
"266299","40","40","40"
"266424","40","40","40"
"267142","17","17","17"
"267364","40","40","40"
"267502","29","29","29"
"268383","40","40","40"
"269177","40","40","40"
"269372","40","40","40"
"269596","40","40","40"
"270170","0","0","0"
"270269","40","40","40"
"270595","40","40","40"
"270660","40","40","40"
"271526","1","1","1"
"272228","1","1","1"
"272426","40","40","40"
"272880","40","40","40"
"274170","10","10","10"
"274711","40","40","40"
"275767","40","40","40"
"275887","3","3","3"
"276242","40","40","40"
"279413","40","40","40"
"280645","40","40","40"
"280928","40","40","40"
"281571","40","40","40"
"281621","40","40","40"
"281694","40","40","40"
"281787","4","4","4"
"281979","0","0","0"
"283429","40","40","40"
"284371","16","16","16"
"284978","40","40","40"
"285469","40","40","40"
"285855","7","7","7"
"286385","40","40","40"
"286452","40","40","40"
"286793","40","40","40"
"286873","40","40","40"
"287111","40","40","40"
"287868","7","7","7"
"288748","40","40","40"
"289961","40","40","40"
"290378","40","40","40"
"291467","40","40","40"
"291973","10","10","10"
"292120","40","40","40"
"294349","40","40","40"
"295503","40","40","40"
"295556","17","17","17"
"295700","22","22","22"
"295795","40","40","40"
"296910","40","40","40"
"297575","40","40","40"
"298256","40","40","40"
"298411","40","40","40"
"298546","6","6","6"
"298947","17","17","17"
"299169","40","40","40"
"299468","40","40","40"
"300136","40","40","40"
"300789","5","5","5"
"301442","40","40","40"
"301704","40","40","40"
"302657","40","40","40"
"303480","40","40","40"
"305536","40","40","40"
"305849","40","40","40"
"306555","19","19","19"
"307522","0","0","0"
"307823","14","14","14"
"308506","40","40","40"
"308790","20","20","20"
"308909","40","40","40"
"309172","11","11","11"
"309667","11","11","11"
"309867","7","7","7"
"310929","40","40","40"
"311487","0","0","0"
"311712","40","40","40"
"312106","40","40","40"
"312475","40","40","40"
"312738","40","40","40"
"312915","20","20","20"
"314493","40","40","40"
"315904","0","0","0"
"316130","1","1","1"
"316393","18","18","18"
"316601","3","3","3"
"316794","40","40","40"
"316926","40","40","40"
"317336","13","13","13"
"317382","40","40","40"
"317527","40","40","40"
"318226","40","40","40"
"319845","40","40","40"
"321646","1","1","1"
"323056","40","40","40"
"324771","6","6","6"
"324821","40","40","40"
"326663","40","40","40"
"326927","40","40","40"
"327148","40","40","40"
"327921","40","40","40"
"328094","40","40","40"
"328422","40","40","40"
"329157","24","24","24"
"329565","40","40","40"
"331196","40","40","40"
"332491","40","40","40"
"333010","9","9","9"
"333467","8","8","8"
"334139","16","16","16"
"336885","40","40","40"
"338276","40","40","40"
"338419","40","40","40"
"338634","40","40","40"
"339724","40","40","40"
"340481","40","40","40"
"340688","40","40","40"
"341193","40","40","40"
"341785","40","40","40"
"341844","40","40","40"
"343172","40","40","40"
"344095","3","3","3"
"345116","40","40","40"
"345667","40","40","40"
"346120","40","40","40"
"346324","2","2","2"
"346573","40","40","40"
"346936","40","40","40"
"348519","40","40","40"
"348700","1","1","1"
"348863","40","40","40"
"349523","40","40","40"
"349781","11","11","11"
"350798","40","40","40"
"351613","40","40","40"
"352481","40","40","40"
"352926","17","17","17"
"353320","40","40","40"
"354083","14","14","14"
"354138","40","40","40"
"354477","40","40","40"
"354582","17","17","17"
"355362","40","40","40"
"355650","40","40","40"
"355762","40","40","40"
"356114","8","8","8"
"356249","4","4","4"
"356459","40","40","40"
"356832","40","40","40"
"357876","40","40","40"
"357984","0","0","0"
"358767","23","23","23"
"359110","40","40","40"
"359210","40","40","40"
"359323","40","40","40"
"359717","40","40","40"
"360513","10","10","10"
"362075","0","0","0"
"362391","25","25","25"
"362693","18","18","18"
"363857","40","40","40"
"364457","40","40","40"
"364985","40","40","40"
"365760","40","40","40"
"367116","12","12","12"
"369482","15","15","15"
"369900","40","40","40"
"370365","6","6","6"
"370417","24","24","24"
"370827","40","40","40"
"370953","21","21","21"
"371198","40","40","40"
"372047","40","40","40"
"372300","2","2","2"
"372471","40","40","40"
"373383","40","40","40"
"374778","40","40","40"
"376728","40","40","40"
"378269","40","40","40"
"378684","40","40","40"
"378811","40","40","40"
"379248","40","40","40"
"379602","11","11","11"
"380158","1","1","1"
"380196","40","40","40"
"380597","40","40","40"
"382019","40","40","40"
"382646","40","40","40"
"385917","8","8","8"
"386192","40","40","40"
"386355","40","40","40"
"386772","40","40","40"
"386816","17","17","17"
"387208","40","40","40"
"387797","40","40","40"
"387999","40","40","40"
"388207","40","40","40"
"388301","40","40","40"
"389572","40","40","40"
"392806","40","40","40"
"392995","40","40","40"
"393861","18","18","18"
"393998","40","40","40"
"394458","40","40","40"
"394538","40","40","40"
"395842","40","40","40"
"396371","40","40","40"
"397752","40","40","40"
"398057","27","27","27"
"398386","17","17","17"
"399015","40","40","40"
"399149","40","40","40"
"399787","40","40","40"
"401113","40","40","40"
"401460","40","40","40"
"401657","40","40","40"
"402472","40","40","40"
"403554","40","40","40"
"403960","2","2","2"
"404449","40","40","40"
"404742","40","40","40"
"405078","40","40","40"
"405468","41","41","41"
"407392","40","40","40"
"407729","40","40","40"
"411118","40","40","40"
"411358","40","40","40"
"411649","40","40","40"
"412022","12","12","12"
"412563","5","5","5"
"413339","40","40","40"
"416389","15","15","15"
"416859","1","1","1"
"417617","40","40","40"
"418028","40","40","40"
"418953","40","40","40"
"419082","40","40","40"
"419212","40","40","40"
"419621","40","40","40"
"419937","6","6","6"
"420277","40","40","40"
"420489","0","0","0"
"421183","11","11","11"
"421480","16","16","16"
"421519","17","17","17"
"421879","19","19","19"
"422360","40","40","40"
"422663","40","40","40"
"422813","40","40","40"
"422979","40","40","40"
"423243","41","41","41"
"423506","40","40","40"
"424468","40","40","40"
"425808","13","13","13"
"425917","21","21","21"
"426026","15","15","15"
"426991","40","40","40"
"428091","40","40","40"
"428236","6","6","6"
"428609","7","7","7"
"429822","40","40","40"
"429840","1","1","1"
"429901","40","40","40"
"432000","40","40","40"
"433821","9","9","9"
"433887","40","40","40"
"433941","40","40","40"
"435022","40","40","40"
"436030","4","4","4"
"436247","3","3","3"
"436388","40","40","40"
"436504","5","5","5"
"436889","26","26","26"
"437108","41","41","41"
"437545","15","15","15"
"437636","40","40","40"
"437762","40","40","40"
"438700","7","7","7"
"439928","20","20","20"
"439975","40","40","40"
"441200","40","40","40"
"441894","40","40","40"
"442434","0","0","0"
"443099","19","19","19"
"443321","40","40","40"
"445397","0","0","0"
"446792","40","40","40"
"446878","40","40","40"
"448671","11","11","11"
"449461","20","20","20"
"450291","15","15","15"
"450963","40","40","40"
"451427","40","40","40"
"452652","9","9","9"
"452704","40","40","40"
"452762","40","40","40"
"453494","40","40","40"
"453594","0","0","0"
"453642","16","16","16"
"454061","40","40","40"
"454395","10","10","10"
"455877","40","40","40"
"457350","40","40","40"
"457436","40","40","40"
"457902","40","40","40"
"458082","40","40","40"
"458482","40","40","40"
"458912","1","1","1"
"459119","40","40","40"
"459448","16","16","16"
"459616","0","0","0"
"460705","40","40","40"
"460743","40","40","40"
"461142","40","40","40"
"461577","40","40","40"
"461711","40","40","40"
"462785","20","20","20"
"462961","40","40","40"
"463930","40","40","40"
"463957","8","8","8"
"464003","40","40","40"
"464375","40","40","40"
"465837","7","7","7"
"466386","40","40","40"
"468349","40","40","40"
"468412","40","40","40"
"469980","3","3","3"
"470283","40","40","40"
"470761","40","40","40"
"470881","5","5","5"
"471009","0","0","0"
"471261","22","22","22"
"471582","19","19","19"
"471781","40","40","40"
"472234","40","40","40"
"472276","40","40","40"
"472396","40","40","40"
"473805","40","40","40"
"475052","11","11","11"
"475280","40","40","40"
"475519","41","41","41"
"477924","40","40","40"
"478218","8","8","8"
"478457","22","22","22"
"478949","0","0","0"
"479486","40","40","40"
"479889","40","40","40"
"479960","40","40","40"
"480492","3","3","3"
"482318","40","40","40"
"482564","40","40","40"
"482882","40","40","40"
"483289","40","40","40"
"485044","40","40","40"
"485921","7","7","7"
"486187","40","40","40"
"486945","0","0","0"
"487664","40","40","40"
"487718","41","41","41"
"488300","1","1","1"
"490267","40","40","40"
"490911","40","40","40"
"491776","40","40","40"
"493192","40","40","40"
"493476","8","8","8"
"495106","7","7","7"
"495593","16","16","16"
"495651","40","40","40"
"495719","40","40","40"
"496915","40","40","40"
"496974","6","6","6"
"497210","40","40","40"
"497406","7","7","7"
"497425","10","10","10"
"498927","40","40","40"
"499147","14","14","14"
"499629","8","8","8"
"499958","40","40","40"
"501174","0","0","0"
"501338","40","40","40"
"501382","40","40","40"
"502294","40","40","40"
"502366","1","1","1"
"503118","1","1","1"
"503547","40","40","40"
"503617","40","40","40"
"504457","40","40","40"
"504707","40","40","40"
"504924","40","40","40"
"505634","40","40","40"
"506088","40","40","40"
"506165","15","15","15"
"506632","5","5","5"
"506794","40","40","40"
"507085","21","21","21"
"507271","40","40","40"
"508151","40","40","40"
"508229","29","29","29"
"508977","9","9","9"
"508997","0","0","0"
"509225","4","4","4"
"509490","40","40","40"
"509703","0","0","0"
"510688","40","40","40"
"511022","40","40","40"
"511885","0","0","0"
"512113","0","0","0"
"512228","12","12","12"
"512361","0","0","0"
"512504","40","40","40"
"513556","40","40","40"
"513980","40","40","40"
"514227","40","40","40"
"515216","40","40","40"
"515557","40","40","40"
"517004","41","41","41"
"517455","6","6","6"
"518109","40","40","40"
"518162","40","40","40"
"520255","40","40","40"
"520761","40","40","40"
"520964","40","40","40"
"521120","3","3","3"
"521505","18","18","18"
"521688","40","40","40"
"522013","0","0","0"
"522142","8","8","8"
"522329","19","19","19"
"522917","4","4","4"
"524669","40","40","40"
"524707","40","40","40"
"525937","7","7","7"
"527079","11","11","11"
"528631","10","10","10"
"528853","40","40","40"
"531018","40","40","40"
"532575","40","40","40"
"532621","4","4","4"
"534404","4","4","4"
"534473","19","19","19"
"535488","40","40","40"
"535681","17","17","17"
"536150","40","40","40"
"537062","40","40","40"
"537819","40","40","40"
"537923","40","40","40"
"539100","40","40","40"
"539264","3","3","3"
"540460","40","40","40"
"540842","40","40","40"
"541165","40","40","40"
"541662","12","12","12"
"542602","3","3","3"
"542795","40","40","40"
"543162","40","40","40"
"543292","24","24","24"
"544081","40","40","40"
"544240","40","40","40"
"544372","40","40","40"
"544574","40","40","40"
"544730","40","40","40"
"545478","40","40","40"
"546053","21","21","21"
"546422","40","40","40"
"547247","40","40","40"
"547970","24","24","24"
"548338","40","40","40"
"548595","40","40","40"
"549187","3","3","3"
"549944","40","40","40"
"550756","40","40","40"
"550807","40","40","40"
"551787","40","40","40"
"552860","9","9","9"
"554691","1","1","1"
"556180","40","40","40"
"556243","40","40","40"
"556840","40","40","40"
"556913","23","23","23"
"557582","40","40","40"
"557825","12","12","12"
"558645","40","40","40"
"558754","40","40","40"
"559948","40","40","40"
"560983","2","2","2"
"561159","40","40","40"
"561720","7","7","7"
"561855","40","40","40"
"562273","40","40","40"
"562491","40","40","40"
"563976","40","40","40"
"564137","40","40","40"
"564235","10","10","10"
"564629","40","40","40"
"565323","0","0","0"
"565394","40","40","40"
"566105","40","40","40"
"567229","40","40","40"
"569632","40","40","40"
"569964","18","18","18"
"570769","12","12","12"
"570822","15","15","15"
"571087","40","40","40"
"571751","40","40","40"
"572061","40","40","40"
"573219","40","40","40"
"574406","1","1","1"
"576644","40","40","40"
"578718","40","40","40"
"579085","40","40","40"
"579330","14","14","14"
"579758","40","40","40"
"580127","40","40","40"
"580461","40","40","40"
"581001","40","40","40"
"581098","18","18","18"
"582811","40","40","40"
"583344","40","40","40"
"583801","40","40","40"
"584299","40","40","40"
"584523","9","9","9"
"585271","40","40","40"
"585281","26","26","26"
"585792","40","40","40"
"586074","40","40","40"
"586134","40","40","40"
"586492","41","41","41"
"587697","40","40","40"
"587782","2","2","2"
"588681","2","2","2"
"588950","1","1","1"
"589172","40","40","40"
"589527","8","8","8"
"590707","0","0","0"
"590805","2","2","2"
"591652","41","41","41"
"592374","41","41","41"
"593360","40","40","40"
"593603","40","40","40"
"594470","40","40","40"
"594869","25","25","25"
"598108","40","40","40"
"598484","40","40","40"
"598577","1","1","1"
"599593","4","4","4"
"601022","40","40","40"
"601183","11","11","11"
"601723","40","40","40"
"602062","40","40","40"
"602117","40","40","40"
"602808","40","40","40"
"603496","40","40","40"
"603578","40","40","40"
"603665","40","40","40"
"604682","40","40","40"
