"Step","14_sazut-tonat-munobhasaz - episodic_return","14_sazut-tonat-munobhasaz - episodic_return__MIN","14_sazut-tonat-munobhasaz - episodic_return__MAX"
"192547","11","11","11"
"192646","4","4","4"
"192797","7","7","7"
"193180","5","5","5"
"193303","1","1","1"
"193489","8","8","8"
"193589","3","3","3"
"193991","10","10","10"
"194063","3","3","3"
"194114","4","4","4"
"194197","1","1","1"
"194555","4","4","4"
"195096","12","12","12"
"195952","9","9","9"
"196118","1","1","1"
"196409","0","0","0"
"196915","4","4","4"
"197035","4","4","4"
"197060","1","1","1"
"197154","4","4","4"
"197706","5","5","5"
"198188","3","3","3"
"198283","4","4","4"
"198440","4","4","4"
"198703","7","7","7"
"198820","5","5","5"
"198921","1","1","1"
"199102","1","1","1"
"199608","7","7","7"
"201029","4","4","4"
"201236","5","5","5"
"202484","6","6","6"
"202514","9","9","9"
"202614","12","12","12"
"202718","5","5","5"
"202943","2","2","2"
"203063","7","7","7"
"203174","2","2","2"
"203744","4","4","4"
"204797","3","3","3"
"205184","5","5","5"
"205338","2","2","2"
"205382","1","1","1"
"205708","4","4","4"
"206237","2","2","2"
"207534","4","4","4"
"208723","7","7","7"
"208784","3","3","3"
"209186","1","1","1"
"209281","2","2","2"
"209831","6","6","6"
"210719","4","4","4"
"211079","5","5","5"
"211370","4","4","4"
"211643","4","4","4"
"212057","6","6","6"
"212653","4","4","4"
"213070","7","7","7"
"213147","2","2","2"
"213400","1","1","1"
"213704","3","3","3"
"213793","5","5","5"
"214679","6","6","6"
"215230","3","3","3"
"215237","2","2","2"
"215601","7","7","7"
"215700","1","1","1"
"216224","1","1","1"
"216311","4","4","4"
"216341","5","5","5"
"217500","9","9","9"
"217636","2","2","2"
"218096","8","8","8"
"218317","5","5","5"
"218434","9","9","9"
"219215","4","4","4"
"219268","4","4","4"
"220648","4","4","4"
"221002","8","8","8"
"221195","9","9","9"
"221251","15","15","15"
"221769","4","4","4"
"222332","4","4","4"
"222949","9","9","9"
"223258","2","2","2"
"223477","7","7","7"
"223954","6","6","6"
"224358","6","6","6"
"225040","2","2","2"
"225524","3","3","3"
"225723","1","1","1"
"225984","8","8","8"
"226301","5","5","5"
"226723","9","9","9"
"226810","10","10","10"
"227905","4","4","4"
"228040","3","3","3"
"228118","7","7","7"
"228985","9","9","9"
"229487","12","12","12"
"230157","2","2","2"
"230369","2","2","2"
"230762","4","4","4"
"230924","3","3","3"
"232034","6","6","6"
"232734","4","4","4"
"233005","6","6","6"
"233260","9","9","9"
"233301","2","2","2"
"233371","2","2","2"
"233671","4","4","4"
"233879","4","4","4"
"234132","3","3","3"
"234438","5","5","5"
"235037","8","8","8"
"235475","6","6","6"
"236327","3","3","3"
"236634","0","0","0"
"236913","9","9","9"
"237032","2","2","2"
"237822","3","3","3"
"238059","7","7","7"
"238552","9","9","9"
"239840","9","9","9"
"240330","4","4","4"
"240996","1","1","1"
"241296","0","0","0"
"241503","8","8","8"
"241733","4","4","4"
"242063","7","7","7"
"242627","3","3","3"
"243538","4","4","4"
"243857","15","15","15"
"244088","6","6","6"
"244502","3","3","3"
"244713","9","9","9"
"245025","2","2","2"
"245373","7","7","7"
"245506","10","10","10"
"246464","4","4","4"
"246553","12","12","12"
"246977","3","3","3"
"247098","3","3","3"
"247187","0","0","0"
"247406","3","3","3"
"247899","1","1","1"
"249367","4","4","4"
"249587","7","7","7"
"249973","5","5","5"
"250659","2","2","2"
"251084","4","4","4"
"251627","3","3","3"
"251961","7","7","7"
"252134","7","7","7"
"252168","4","4","4"
"252261","13","13","13"
"252404","3","3","3"
"252850","9","9","9"
"253198","3","3","3"
"253485","4","4","4"
"253612","3","3","3"
"253936","9","9","9"
"254532","10","10","10"
"255178","3","3","3"
"255509","7","7","7"
"255774","3","3","3"
"256203","7","7","7"
"256472","3","3","3"
"256928","3","3","3"
"257448","1","1","1"
"257545","8","8","8"
"257854","4","4","4"
"257976","0","0","0"
"258090","4","4","4"
"258473","2","2","2"
"258845","2","2","2"
"259702","2","2","2"
"259734","2","2","2"
"259929","1","1","1"
"260209","9","9","9"
"260227","3","3","3"
"260877","6","6","6"
"260999","2","2","2"
"261095","2","2","2"
"261563","1","1","1"
"261629","4","4","4"
"261756","5","5","5"
"261922","9","9","9"
"262034","2","2","2"
"262594","2","2","2"
"263295","4","4","4"
"263841","1","1","1"
"264156","14","14","14"
"264727","1","1","1"
"265171","6","6","6"
"265280","2","2","2"
"265699","0","0","0"
"265749","2","2","2"
"265850","3","3","3"
"266075","4","4","4"
"267333","8","8","8"
"267978","1","1","1"
"268110","5","5","5"
"268166","7","7","7"
"268353","2","2","2"
"269647","8","8","8"
"269807","17","17","17"
"270170","10","10","10"
"270352","7","7","7"
"270500","9","9","9"
"270548","11","11","11"
"271645","2","2","2"
"271790","3","3","3"
"272332","4","4","4"
"273155","3","3","3"
"273395","4","4","4"
"273527","6","6","6"
"274160","4","4","4"
"274860","4","4","4"
"275260","0","0","0"
"276104","3","3","3"
"276395","8","8","8"
"276469","5","5","5"
"277010","0","0","0"
"278033","7","7","7"
"278129","2","2","2"
"278342","1","1","1"
"278630","6","6","6"
"278717","4","4","4"
"279062","2","2","2"
"279476","6","6","6"
"280062","5","5","5"
"280184","2","2","2"
"280438","4","4","4"
"280681","4","4","4"
"280971","5","5","5"
"281061","4","4","4"
"282135","3","3","3"
"282530","7","7","7"
"282730","4","4","4"
"283387","4","4","4"
"283865","5","5","5"
"283918","3","3","3"
"284192","10","10","10"
"286335","4","4","4"
