"Step","11_sazut-tonat-nigonribop - episodic_return","11_sazut-tonat-nigonribop - episodic_return__MIN","11_sazut-tonat-nigonribop - episodic_return__MAX"
"286976","10","10","10"
"287195","10","10","10"
"288337","10","10","10"
"288966","10","10","10"
"289104","10","10","10"
"289185","10","10","10"
"289996","10","10","10"
"290214","10","10","10"
"290483","10","10","10"
"292440","10","10","10"
"292871","10","10","10"
"293699","10","10","10"
"293914","10","10","10"
"294181","10","10","10"
"294231","10","10","10"
"294939","10","10","10"
"296309","10","10","10"
"296532","10","10","10"
"296812","10","10","10"
"297557","10","10","10"
"297645","0","0","0"
"298146","10","10","10"
"298889","10","10","10"
"299739","10","10","10"
"299968","10","10","10"
"300271","10","10","10"
"300404","10","10","10"
"300467","10","10","10"
"300946","10","10","10"
"301642","10","10","10"
"301870","10","10","10"
"302118","10","10","10"
"302848","10","10","10"
"303039","10","10","10"
"303133","10","10","10"
"303332","10","10","10"
"303893","10","10","10"
"304323","10","10","10"
"305284","10","10","10"
"305726","10","10","10"
"306307","10","10","10"
"306471","10","10","10"
"306752","10","10","10"
"306947","10","10","10"
"307022","10","10","10"
"307103","10","10","10"
"308162","10","10","10"
"308703","10","10","10"
"308872","10","10","10"
"309540","10","10","10"
"310218","10","10","10"
"310297","10","10","10"
"311140","10","10","10"
"312657","10","10","10"
"312712","10","10","10"
"312843","10","10","10"
"313833","10","10","10"
"315888","10","10","10"
"316299","10","10","10"
"316977","10","10","10"
"318231","10","10","10"
"318431","10","10","10"
"318679","10","10","10"
"318883","10","10","10"
"319012","10","10","10"
"319299","10","10","10"
"319466","10","10","10"
"319775","10","10","10"
"319824","10","10","10"
"320905","10","10","10"
"320973","10","10","10"
"321194","10","10","10"
"322148","10","10","10"
"323083","10","10","10"
"323200","10","10","10"
"323280","10","10","10"
"323331","10","10","10"
"324401","10","10","10"
"324567","10","10","10"
"325347","10","10","10"
"325505","10","10","10"
"325818","10","10","10"
"326044","10","10","10"
"326416","10","10","10"
"326592","10","10","10"
"327741","10","10","10"
"327979","0","0","0"
"328443","10","10","10"
"328852","10","10","10"
"329985","10","10","10"
"330944","10","10","10"
"331147","10","10","10"
"331307","10","10","10"
"331994","10","10","10"
"332679","10","10","10"
"333326","10","10","10"
"334220","10","10","10"
"334342","10","10","10"
"335459","10","10","10"
"335949","10","10","10"
"336470","10","10","10"
"336676","10","10","10"
"338209","10","10","10"
"338304","10","10","10"
"339767","10","10","10"
"341393","10","10","10"
"342562","10","10","10"
"342671","10","10","10"
"343061","10","10","10"
"343552","10","10","10"
"344008","10","10","10"
"344596","10","10","10"
"344642","10","10","10"
"345189","10","10","10"
"345281","10","10","10"
"345901","10","10","10"
"346573","10","10","10"
"348252","10","10","10"
"348388","10","10","10"
"348512","0","0","0"
"348998","10","10","10"
"349287","10","10","10"
"350086","10","10","10"
"350921","10","10","10"
"351233","10","10","10"
"351871","10","10","10"
"352720","10","10","10"
"353233","10","10","10"
"353288","10","10","10"
"353678","10","10","10"
"354080","10","10","10"
"354496","10","10","10"
"354656","10","10","10"
"354803","10","10","10"
"356028","10","10","10"
"356336","10","10","10"
"357898","10","10","10"
"358860","10","10","10"
"359367","10","10","10"
"360578","10","10","10"
"360860","10","10","10"
"361820","10","10","10"
"361896","10","10","10"
"362202","10","10","10"
"362442","10","10","10"
"363610","10","10","10"
"364025","10","10","10"
"366592","10","10","10"
"366853","10","10","10"
"367007","10","10","10"
"367512","10","10","10"
"367576","10","10","10"
"367618","10","10","10"
"367999","10","10","10"
"368397","10","10","10"
"368534","10","10","10"
"368906","10","10","10"
"369218","10","10","10"
"369323","10","10","10"
"369378","10","10","10"
"369632","10","10","10"
"370180","10","10","10"
"370638","10","10","10"
"370763","10","10","10"
"371001","10","10","10"
"371372","10","10","10"
"371723","10","10","10"
"372113","10","10","10"
"372489","10","10","10"
"372550","10","10","10"
"372647","10","10","10"
"372857","10","10","10"
"373815","10","10","10"
"374490","10","10","10"
"375044","10","10","10"
"375430","10","10","10"
"375585","10","10","10"
"375857","10","10","10"
"376596","0","0","0"
"378487","10","10","10"
"378638","10","10","10"
"378758","10","10","10"
"379143","10","10","10"
"379345","10","10","10"
"379399","10","10","10"
"379924","10","10","10"
"380135","10","10","10"
"380213","10","10","10"
"380241","10","10","10"
"381061","10","10","10"
"381133","10","10","10"
"381924","0","0","0"
"381972","10","10","10"
"382137","10","10","10"
"383307","10","10","10"
"383380","10","10","10"
"383692","10","10","10"
"384455","10","10","10"
"384710","10","10","10"
"385063","10","10","10"
"385105","10","10","10"
"385415","10","10","10"
"386060","10","10","10"
"386629","10","10","10"
"387291","10","10","10"
"387537","10","10","10"
"389727","10","10","10"
"389837","10","10","10"
"390225","10","10","10"
"390581","10","10","10"
"390855","10","10","10"
"391371","10","10","10"
"392161","10","10","10"
"392368","10","10","10"
"392788","10","10","10"
"393121","10","10","10"
"393159","10","10","10"
"393454","10","10","10"
"393620","10","10","10"
"394017","10","10","10"
"394395","10","10","10"
"394528","10","10","10"
"394708","10","10","10"
"395502","10","10","10"
"395750","0","0","0"
"396137","10","10","10"
"396514","10","10","10"
"396594","10","10","10"
"397041","10","10","10"
"397213","10","10","10"
"397431","10","10","10"
"397935","0","0","0"
"398489","10","10","10"
"398854","10","10","10"
"399266","10","10","10"
"399518","10","10","10"
"399711","10","10","10"
"400824","10","10","10"
"400970","10","10","10"
"401055","10","10","10"
"401186","10","10","10"
"401286","10","10","10"
"401568","10","10","10"
"401631","10","10","10"
"401689","10","10","10"
"401776","10","10","10"
"402259","0","0","0"
"402509","10","10","10"
"402750","10","10","10"
"403904","0","0","0"
"404259","10","10","10"
"404332","10","10","10"
"404625","10","10","10"
"404887","10","10","10"
"405150","10","10","10"
"405211","10","10","10"
"406565","10","10","10"
"406687","10","10","10"
"406784","10","10","10"
"406925","10","10","10"
"408852","10","10","10"
"409090","10","10","10"
"409748","10","10","10"
"409862","10","10","10"
"411310","10","10","10"
"412000","10","10","10"
"412864","10","10","10"
"413084","10","10","10"
"413865","10","10","10"
"415026","10","10","10"
"415302","10","10","10"
"415629","10","10","10"
"416035","10","10","10"
"416258","10","10","10"
"417481","10","10","10"
"417560","10","10","10"
"417619","10","10","10"
"417835","10","10","10"
"418058","10","10","10"
"418909","10","10","10"
"419103","10","10","10"
"419295","10","10","10"
"419752","10","10","10"
"420942","10","10","10"
"421397","10","10","10"
"421769","10","10","10"
"421858","10","10","10"
"422218","10","10","10"
"422323","10","10","10"
"422469","10","10","10"
"422666","10","10","10"
"422883","10","10","10"
"423045","10","10","10"
"423453","10","10","10"
"423555","10","10","10"
"423626","10","10","10"
"423685","10","10","10"
"423850","10","10","10"
"424275","10","10","10"
"424872","10","10","10"
"424974","10","10","10"
"425142","10","10","10"
"425887","10","10","10"
"426315","10","10","10"
"427017","10","10","10"
"427364","10","10","10"
"427529","10","10","10"
"427973","10","10","10"
"428107","10","10","10"
"428169","10","10","10"
"428301","10","10","10"
"428494","10","10","10"
"429509","10","10","10"
"429587","10","10","10"
"429839","10","10","10"
"429969","10","10","10"
"430120","10","10","10"
"430147","10","10","10"
"430534","10","10","10"
"430888","10","10","10"
"431099","10","10","10"
"431267","10","10","10"
"433057","10","10","10"
"434414","10","10","10"
"434800","0","0","0"
"435079","10","10","10"
"436488","10","10","10"
"436885","10","10","10"
"437801","10","10","10"
"438281","10","10","10"
"438342","10","10","10"
"440645","10","10","10"
"441117","10","10","10"
"441227","10","10","10"
"441759","10","10","10"
"441870","10","10","10"
"441920","10","10","10"
"442047","10","10","10"
"442399","10","10","10"
"442444","10","10","10"
"442721","10","10","10"
"442945","10","10","10"
"443282","10","10","10"
"443346","10","10","10"
"443399","10","10","10"
"443989","10","10","10"
"444481","10","10","10"
"444805","10","10","10"
"445212","10","10","10"
"445457","10","10","10"
"445737","10","10","10"
"446943","10","10","10"
"447045","10","10","10"
"447369","10","10","10"
"447898","10","10","10"
"448589","10","10","10"
"448769","10","10","10"
"448836","10","10","10"
"449474","10","10","10"
"449629","10","10","10"
"449969","10","10","10"
"450104","10","10","10"
"450736","10","10","10"
"450931","10","10","10"
"450958","10","10","10"
"451089","10","10","10"
"451202","10","10","10"
"451343","10","10","10"
"451908","10","10","10"
"452309","10","10","10"
"452353","10","10","10"
"452557","10","10","10"
"453067","10","10","10"
"453369","10","10","10"
"453579","10","10","10"
"454094","10","10","10"
"454507","10","10","10"
"454549","10","10","10"
"456257","10","10","10"
"457291","10","10","10"
"457595","10","10","10"
"457937","10","10","10"
"458510","10","10","10"
"458624","10","10","10"
"458689","10","10","10"
"458759","10","10","10"
"458816","10","10","10"
"459598","10","10","10"
"459857","10","10","10"
"460133","10","10","10"
"460297","10","10","10"
"461007","10","10","10"
"461195","10","10","10"
"462726","10","10","10"
"462948","10","10","10"
"463236","10","10","10"
"463889","10","10","10"
"463950","10","10","10"
"464134","10","10","10"
"464576","10","10","10"
"464924","10","10","10"
"465109","10","10","10"
"465221","10","10","10"
"465326","10","10","10"
"465960","10","10","10"
"466069","10","10","10"
"466831","10","10","10"
"467228","10","10","10"
"467331","10","10","10"
"467418","10","10","10"
"468150","10","10","10"
"468295","10","10","10"
"468678","10","10","10"
"469315","10","10","10"
"469463","10","10","10"
"469730","10","10","10"
"469796","10","10","10"
"470017","10","10","10"
"470478","10","10","10"
"471650","10","10","10"
"472399","10","10","10"
"472517","10","10","10"
"472576","10","10","10"
"472733","10","10","10"
"473260","10","10","10"
"474639","10","10","10"
"474708","10","10","10"
"475214","10","10","10"
"475694","10","10","10"
"475813","10","10","10"
"476229","10","10","10"
"476630","10","10","10"
"476686","10","10","10"
"476807","10","10","10"
"477471","10","10","10"
"478348","10","10","10"
"478533","10","10","10"
"479699","10","10","10"
"480332","10","10","10"
"481222","10","10","10"
"481324","10","10","10"
"481734","10","10","10"
"482693","10","10","10"
"483180","10","10","10"
"483909","10","10","10"
"484319","10","10","10"
"484992","10","10","10"
"485314","10","10","10"
"487136","10","10","10"
"487319","10","10","10"
"488788","10","10","10"
"488974","10","10","10"
"489367","10","10","10"
"489421","10","10","10"
"489806","10","10","10"
"490694","10","10","10"
"490821","10","10","10"
"491150","10","10","10"
"491398","10","10","10"
"491518","10","10","10"
"491543","10","10","10"
"492211","0","0","0"
"492323","10","10","10"
"492813","10","10","10"
"494153","0","0","0"
"494920","10","10","10"
"495402","10","10","10"
"496524","10","10","10"
"496777","10","10","10"
"497161","10","10","10"
"497237","10","10","10"
"498510","10","10","10"
"498765","10","10","10"
"498990","10","10","10"
"499056","10","10","10"
"499160","10","10","10"
"499209","10","10","10"
"499278","10","10","10"
"499337","10","10","10"
"499406","10","10","10"
"499744","10","10","10"
"501070","10","10","10"
"501231","10","10","10"
"501705","10","10","10"
"503050","10","10","10"
"503182","10","10","10"
"503267","10","10","10"
"503707","10","10","10"
"504553","10","10","10"
"504934","10","10","10"
"505517","10","10","10"
"505989","10","10","10"
"506881","10","10","10"
"508484","10","10","10"
"508760","10","10","10"
"509128","10","10","10"
"509332","10","10","10"
"509514","10","10","10"
"511685","10","10","10"
"511860","10","10","10"
"512069","10","10","10"
"512586","10","10","10"
"512789","10","10","10"
"512974","10","10","10"
"513623","10","10","10"
"513992","10","10","10"
"514250","10","10","10"
"514315","10","10","10"
"514713","10","10","10"
"514903","10","10","10"
"514947","10","10","10"
"515105","10","10","10"
"515470","10","10","10"
"515528","10","10","10"
"517025","10","10","10"
"517073","10","10","10"
"517774","10","10","10"
"518409","10","10","10"
"518720","10","10","10"
"518914","0","0","0"
"518990","10","10","10"
"519128","10","10","10"
"519557","10","10","10"
"519775","10","10","10"
"520376","10","10","10"
"520580","10","10","10"
"520674","10","10","10"
"520754","10","10","10"
"521191","10","10","10"
"521476","10","10","10"
"521708","10","10","10"
"522458","0","0","0"
"522729","10","10","10"
"522949","10","10","10"
"523202","10","10","10"
"523461","10","10","10"
"524241","10","10","10"
"524291","10","10","10"
"524551","10","10","10"
"524674","10","10","10"
"525122","10","10","10"
"525583","10","10","10"
"525916","10","10","10"
"526223","10","10","10"
"527453","10","10","10"
"527753","10","10","10"
"528003","10","10","10"
"528410","10","10","10"
"528870","10","10","10"
"528900","10","10","10"
"528997","10","10","10"
"529066","10","10","10"
"529606","10","10","10"
"530377","10","10","10"
"530818","10","10","10"
"532244","10","10","10"
"532751","10","10","10"
"533003","10","10","10"
"533369","10","10","10"
"533853","10","10","10"
"533907","10","10","10"
"534339","10","10","10"
"534944","10","10","10"
"535362","10","10","10"
"535625","10","10","10"
"536866","10","10","10"
"536972","10","10","10"
"537100","10","10","10"
"537987","10","10","10"
"538762","10","10","10"
"539029","10","10","10"
"539235","10","10","10"
"539490","10","10","10"
"540626","10","10","10"
"541010","10","10","10"
"541065","10","10","10"
"541266","10","10","10"
"541607","10","10","10"
"541810","10","10","10"
"541933","10","10","10"
"542151","10","10","10"
"542290","10","10","10"
"542927","10","10","10"
"543417","10","10","10"
"543532","10","10","10"
"543565","10","10","10"
"543640","10","10","10"
"543830","10","10","10"
"544300","10","10","10"
"544534","10","10","10"
"544847","10","10","10"
"544935","10","10","10"
"545514","10","10","10"
"545654","10","10","10"
"545670","10","10","10"
"545794","10","10","10"
"545871","10","10","10"
"546108","10","10","10"
"546625","0","0","0"
"548178","10","10","10"
"548297","10","10","10"
"548376","10","10","10"
"548997","10","10","10"
"549850","10","10","10"
"550021","10","10","10"
"550091","10","10","10"
"550978","10","10","10"
"551581","10","10","10"
"552327","10","10","10"
"553121","10","10","10"
"553437","10","10","10"
"554532","10","10","10"
"554791","10","10","10"
"554895","10","10","10"
"555521","10","10","10"
"555797","10","10","10"
"556320","10","10","10"
"557684","10","10","10"
"558050","10","10","10"
"558746","10","10","10"
"559834","10","10","10"
"560826","10","10","10"
"561305","10","10","10"
"561565","10","10","10"
"561954","10","10","10"
"562286","10","10","10"
"563011","10","10","10"
"563973","10","10","10"
"564357","10","10","10"
"564569","10","10","10"
"564704","10","10","10"
"564841","10","10","10"
"565082","10","10","10"
"565571","10","10","10"
"567880","10","10","10"
"568516","10","10","10"
"568910","10","10","10"
"569669","10","10","10"
"569755","10","10","10"
"570024","10","10","10"
"570051","10","10","10"
"570245","10","10","10"
"570836","10","10","10"
"571030","10","10","10"
"572387","10","10","10"
"572422","10","10","10"
"573018","10","10","10"
"573576","10","10","10"
"573894","10","10","10"
"574980","10","10","10"
"575125","10","10","10"
"575529","10","10","10"
"575712","10","10","10"
"575972","10","10","10"
"576390","10","10","10"
"576859","10","10","10"
"577097","10","10","10"
"577430","10","10","10"
"577636","10","10","10"
"578239","10","10","10"
"578774","10","10","10"
"578891","10","10","10"
"579133","10","10","10"
"579532","10","10","10"
"579617","10","10","10"
"579664","10","10","10"
"580317","10","10","10"
"580484","10","10","10"
"581169","10","10","10"
"582298","10","10","10"
"582363","10","10","10"
"582657","10","10","10"
"582938","10","10","10"
"583003","10","10","10"
"583165","10","10","10"
"583229","10","10","10"
"583689","10","10","10"
"584380","10","10","10"
"585179","10","10","10"
"586107","10","10","10"
"586128","10","10","10"
"586211","10","10","10"
"587269","10","10","10"
"588006","10","10","10"
"588697","10","10","10"
"588871","10","10","10"
"589508","10","10","10"
"589763","10","10","10"
"589857","10","10","10"
"589956","10","10","10"
"590310","10","10","10"
"590809","10","10","10"
"590851","10","10","10"
"591514","10","10","10"
"593091","10","10","10"
"593993","10","10","10"
"594107","10","10","10"
"594113","10","10","10"
"594742","10","10","10"
"594759","10","10","10"
"595137","10","10","10"
"595787","10","10","10"
"596184","10","10","10"
"596432","10","10","10"
"596826","10","10","10"
"598335","10","10","10"
"598698","10","10","10"
"599066","10","10","10"
"599314","10","10","10"
"599367","10","10","10"
"599578","10","10","10"
"599690","10","10","10"
"599889","0","0","0"
"600137","10","10","10"
"600373","10","10","10"
"601165","10","10","10"
"601225","10","10","10"
"601827","10","10","10"
