"Step","12_sazut-tonat-zanohripok - episodic_return","12_sazut-tonat-zanohripok - episodic_return__MIN","12_sazut-tonat-zanohripok - episodic_return__MAX"
"233568","13","13","13"
"233818","13","13","13"
"234082","3","3","3"
"234803","3","3","3"
"236946","2","2","2"
"238434","13","13","13"
"238567","13","13","13"
"239634","13","13","13"
"240662","2","2","2"
"240859","13","13","13"
"241655","13","13","13"
"242855","13","13","13"
"243061","3","3","3"
"244187","13","13","13"
"244838","0","0","0"
"245108","13","13","13"
"245991","13","13","13"
"246210","13","13","13"
"246699","3","3","3"
"248247","13","13","13"
"248597","3","3","3"
"248745","13","13","13"
"249270","1","1","1"
"249332","13","13","13"
"249711","3","3","3"
"250114","13","13","13"
"250278","13","13","13"
"250624","13","13","13"
"250883","13","13","13"
"251561","13","13","13"
"251707","13","13","13"
"252218","2","2","2"
"253082","3","3","3"
"253200","1","1","1"
"254313","13","13","13"
"254636","13","13","13"
"255552","13","13","13"
"255927","13","13","13"
"256166","13","13","13"
"256527","2","2","2"
"256699","13","13","13"
"257268","13","13","13"
"258071","3","3","3"
"258149","1","1","1"
"258479","13","13","13"
"258621","13","13","13"
"259472","13","13","13"
"259648","13","13","13"
"260107","13","13","13"
"260599","13","13","13"
"260675","0","0","0"
"260774","13","13","13"
"261007","13","13","13"
"261753","13","13","13"
"262569","13","13","13"
"262778","13","13","13"
"262889","0","0","0"
"263334","13","13","13"
"263952","13","13","13"
"266487","13","13","13"
"267450","13","13","13"
"267727","13","13","13"
"268577","3","3","3"
"268914","13","13","13"
"269207","13","13","13"
"269379","13","13","13"
"269582","13","13","13"
"269733","13","13","13"
"269773","13","13","13"
"270221","0","0","0"
"271501","13","13","13"
"271952","13","13","13"
"272855","13","13","13"
"273842","2","2","2"
"274255","13","13","13"
"274352","13","13","13"
"274499","13","13","13"
"275105","13","13","13"
"275650","13","13","13"
"276422","13","13","13"
"276645","13","13","13"
"277007","13","13","13"
"277582","13","13","13"
"278018","13","13","13"
"279174","13","13","13"
"279404","13","13","13"
"279823","13","13","13"
"279882","3","3","3"
"280247","3","3","3"
"280789","13","13","13"
"281210","13","13","13"
"281474","13","13","13"
"281550","13","13","13"
"281614","10","10","10"
"281738","13","13","13"
"282122","0","0","0"
"282540","13","13","13"
"282900","3","3","3"
"283128","3","3","3"
"283526","13","13","13"
"284244","13","13","13"
"284476","13","13","13"
"285100","13","13","13"
"285645","13","13","13"
"285823","13","13","13"
"286224","13","13","13"
"286686","13","13","13"
"287082","13","13","13"
"287626","13","13","13"
"288326","13","13","13"
"288440","13","13","13"
"288639","13","13","13"
"288718","13","13","13"
"288938","13","13","13"
"289647","13","13","13"
"289795","13","13","13"
"290705","3","3","3"
"291678","13","13","13"
"292611","13","13","13"
"292733","13","13","13"
"293446","13","13","13"
"293580","13","13","13"
"293682","13","13","13"
"294179","3","3","3"
"294429","10","10","10"
"294481","13","13","13"
"294533","13","13","13"
"294602","13","13","13"
"294980","3","3","3"
"295206","13","13","13"
"295357","13","13","13"
"296227","13","13","13"
"296268","13","13","13"
"296554","13","13","13"
"297027","13","13","13"
"297117","13","13","13"
"297624","13","13","13"
"297906","13","13","13"
"298508","13","13","13"
"298598","13","13","13"
"298957","13","13","13"
"299101","13","13","13"
"300381","0","0","0"
"300586","13","13","13"
"300874","13","13","13"
"301214","2","2","2"
"301717","13","13","13"
"302275","13","13","13"
"302473","3","3","3"
"302860","13","13","13"
"303325","13","13","13"
"303937","13","13","13"
"304194","13","13","13"
"304778","13","13","13"
"304921","13","13","13"
"305229","13","13","13"
"305541","13","13","13"
"306326","2","2","2"
"306542","13","13","13"
"306606","10","10","10"
"306627","13","13","13"
"306889","13","13","13"
"307140","13","13","13"
"307655","13","13","13"
"307811","13","13","13"
"308187","2","2","2"
"308390","13","13","13"
"308437","13","13","13"
"309185","13","13","13"
"309484","13","13","13"
"309718","13","13","13"
"309991","2","2","2"
"310699","2","2","2"
"311047","13","13","13"
"311527","13","13","13"
"311725","13","13","13"
"311908","13","13","13"
"313270","2","2","2"
"313568","1","1","1"
"313642","13","13","13"
"313758","13","13","13"
"314541","13","13","13"
"315037","13","13","13"
"315300","13","13","13"
"315362","13","13","13"
"315549","2","2","2"
"316169","13","13","13"
"316569","13","13","13"
"316652","13","13","13"
"317082","2","2","2"
"317187","13","13","13"
"318297","13","13","13"
"318653","13","13","13"
"319213","13","13","13"
"319320","13","13","13"
"319837","13","13","13"
"320676","13","13","13"
"320857","13","13","13"
"321112","13","13","13"
"321306","13","13","13"
"322837","13","13","13"
"322945","2","2","2"
"323175","13","13","13"
"323828","13","13","13"
"324353","13","13","13"
"325319","13","13","13"
"325478","13","13","13"
"325504","13","13","13"
"325666","13","13","13"
"325753","3","3","3"
"326145","13","13","13"
"326301","3","3","3"
"326744","13","13","13"
"327253","13","13","13"
"327412","13","13","13"
"327744","13","13","13"
"327921","13","13","13"
"328088","13","13","13"
"328230","13","13","13"
"328266","13","13","13"
"328482","1","1","1"
"328777","13","13","13"
"329031","13","13","13"
"329901","13","13","13"
"330005","13","13","13"
"330073","13","13","13"
"330289","13","13","13"
"330432","13","13","13"
"331113","13","13","13"
"331413","13","13","13"
"331467","13","13","13"
"331672","13","13","13"
"332185","13","13","13"
"332352","3","3","3"
"332733","13","13","13"
"332871","13","13","13"
"333305","13","13","13"
"333837","13","13","13"
"334246","2","2","2"
"334361","13","13","13"
"334488","13","13","13"
"334727","13","13","13"
"334955","13","13","13"
"335163","3","3","3"
"335970","13","13","13"
"336008","2","2","2"
"336855","3","3","3"
"337815","13","13","13"
"337865","13","13","13"
"338155","13","13","13"
"338441","1","1","1"
"338952","13","13","13"
"339105","2","2","2"
"339620","13","13","13"
"339965","13","13","13"
"340263","13","13","13"
"340365","13","13","13"
"342121","13","13","13"
"342165","3","3","3"
"342337","13","13","13"
"342699","13","13","13"
"342792","1","1","1"
"343097","13","13","13"
"343257","13","13","13"
"343714","13","13","13"
"343890","13","13","13"
"344661","13","13","13"
"346133","13","13","13"
"346206","13","13","13"
"346857","13","13","13"
"347211","13","13","13"
"347797","13","13","13"
"348949","13","13","13"
"350088","13","13","13"
"350199","13","13","13"
"350869","13","13","13"
"351034","13","13","13"
"351706","13","13","13"
"352264","13","13","13"
"353446","13","13","13"
"353498","13","13","13"
"355174","13","13","13"
"355237","13","13","13"
"355279","3","3","3"
"356097","13","13","13"
"356415","13","13","13"
